firm_id,size,age,sector_code,sector_description,productivity,debt_ratio,profitability,region,aid_received,p_treatment,grant_amount,log_grant_amount,true_effect,employment_growth,value_added_growth,sales_growth,propensity_score,estimated_cate
1,30,40,C,Manufacturing,67.83839691883678,0.3578778163601873,0.1506333901629583,Murcia,1,0.5353703015626409,5138.028620476833,8.544619356246391,2.3005061528281807,1.3619388185105206,16.586934248175204,20.40113921548024,0.5885388091907704,3.3625988889443987
2,18,1,J,Information and communication,60.00867721143863,0.1604891486497897,0.0689314545076571,Galicia,0,0.5656202165132297,0.0,0.0,2.5675976234645965,4.247374552021402,7.622025559806481,13.900067570460374,0.48654596406282985,2.8843458879727435
3,34,4,C,Manufacturing,49.57673181594156,0.0540429488440053,0.0234597897723777,Valencia,1,0.5295452113101757,3743.221402881322,8.227968971234024,1.6057243693154102,1.6136341228448852,10.424805842615813,17.002716244783972,0.5449547749752213,2.82349880030741
4,68,30,J,Information and communication,70.464893662563,0.0532632066142222,0.1054534194964501,Andalusia,1,0.5606201099755497,4489.556008094839,8.40973180560751,3.379385730011408,1.9983724577566135,18.372236532737112,24.844549961483985,0.5916018090976695,3.422287564647161
5,17,12,H,Transportation and storage,59.9380405009792,0.2068221327040392,0.0604471571533535,Madrid,1,0.5324694971093205,2746.220777082792,7.918345053117958,1.3245582723057527,6.433165673389512,13.315885437718451,15.810582708471935,0.5553972636656465,2.787049035418998
6,17,35,G,Wholesale and retail trade,37.65716147722351,0.4671102462438102,0.0696449447168376,Canary Islands,0,0.5145275242629349,0.0,0.0,1.2414613685284248,0.4994399044843614,8.19219998113169,7.161026393972448,0.4874000139164982,2.2808245477747136
7,71,13,I,Accommodation and food service activities,34.411697540138505,0.3558290497589771,0.0872452967169884,Andalusia,0,0.5060102664137369,0.0,0.0,0.7042879256424079,4.173599442263644,9.632257580946924,7.293422758899123,0.5126469149794722,2.3452649765505456
8,37,31,J,Information and communication,62.26972316680792,0.2894451721159875,0.0393893582125655,Madrid,0,0.5451879547303797,0.0,0.0,2.3852520595520916,0.6222398054087457,6.669237787130127,12.840703357786476,0.5695583166474204,2.665654416518158
9,14,38,N,Administrative and support service activities,55.945504347010264,0.5026381252417612,-0.0010568177060179,Aragon,1,0.5212329198791786,2944.2476741590554,7.987948192433719,1.0008169182283413,-0.088880743598362,8.049278223995344,13.652211505553607,0.5601429229710824,2.4526873877741675
10,31,43,F,Construction,52.54621651955993,0.2037659623971883,0.0774365192632831,Balearic Islands,0,0.5178561974982211,0.0,0.0,1.197696202798411,1.612092051912899,10.31599907072208,14.11507943424384,0.5295322589313326,2.855998773266306
11,14,23,N,Administrative and support service activities,37.30253295696639,0.4033884756996151,0.1281958851316917,Castile and Leon,0,0.5200295196142412,0.0,0.0,1.7136368538700488,-0.6063431643129076,8.818535304120036,11.462043707920902,0.501499636509724,3.281024124561004
12,14,4,Q,Human health and social work activities,59.11921350508631,0.3316352793728193,0.0349204370544122,Madrid,1,0.5301336615580736,3077.7245548710935,8.0322706846409,1.2035568556780438,4.367866595060356,12.920030495901996,17.154103661083347,0.5786739229955168,2.483041291700249
13,24,16,M,"Professional, scientific and technical activities",38.66751675299077,0.2674788842950558,0.0876981133132817,Galicia,0,0.5365672688390895,0.0,0.0,1.823196283234852,3.238318158484728,12.875515325777329,12.405762910289145,0.49469577321948427,2.5889978869600436
14,4,7,M,"Professional, scientific and technical activities",48.47020018109483,0.1974852395522818,0.1552753574274598,Basque Country,1,0.5501837256716059,2927.962983593235,7.982403708848672,2.8712167622586664,6.909974644912523,11.670583398506423,20.339529455147304,0.5502078050762773,3.5396444388790487
15,5,22,J,Information and communication,71.7041621958047,0.0392343334402098,0.0755117556363076,Aragon,1,0.5706509517071713,5096.928398409327,8.536589539801989,2.857807288517837,5.034133611807302,17.04533337090305,24.43030148096257,0.5758948189478904,2.9412051879151715
16,13,29,C,Manufacturing,40.087486462847814,0.2457586376253942,0.0843047185897929,Andalusia,0,0.5266529809798455,0.0,0.0,1.403116227003084,4.68984923327557,7.510842278651371,12.155376434440704,0.5092927810253073,2.6946623473105573
17,9,11,H,Transportation and storage,26.405161143907087,0.4123718589604246,0.0827606176800193,Andalusia,1,0.5178171718654871,3591.351841528716,8.18656237605298,0.8156797524786461,0.4803301580611923,8.304813784078842,8.695068212100761,0.5171936177647608,2.33504357901216
18,26,33,J,Information and communication,34.21179212194834,0.2297311993670149,0.045882778705347,Murcia,1,0.5362650509926686,3446.8940017786053,8.14551888936748,2.2083867218524684,4.253757259985287,11.160591229812717,12.582969989663544,0.6440144358472607,2.6460750304370504
19,10,29,N,Administrative and support service activities,64.91448240031434,0.3059021345683804,0.0303322740783311,Valencia,0,0.5427107584932327,0.0,0.0,1.303242689434763,2.2328839301064427,9.371509956214265,15.039672754220351,0.523549840664753,2.5595123933706305
20,6,39,H,Transportation and storage,53.82096706070314,0.1216266268520157,0.0305368815339462,Valencia,1,0.5326360152295166,3466.6139504121033,8.151222014060595,1.3925830437550155,7.64386983838097,12.35615440317776,19.592129361760104,0.5798515172185514,2.8372591146116917
21,65,12,M,"Professional, scientific and technical activities",48.066839319668695,0.049136517045769,0.0984091598503636,Madrid,1,0.5314464082699147,5394.760064725959,8.593368750943545,1.971531876150918,6.598664164571238,12.26172779949128,22.480472645457613,0.5495257071551218,3.012917356983176
22,17,7,J,Information and communication,42.36359292032646,0.211990344385271,0.1178936180966372,Navarre,0,0.5478148662730692,0.0,0.0,3.1436455848179934,2.0739744051045177,8.31677095162447,13.669588379039146,0.4530432406013462,3.4259181465540625
23,21,39,F,Construction,57.28039861329785,0.4080231999933146,0.1202541119218926,Madrid,1,0.5222018188891707,2779.144274506662,7.930258102642619,1.8807807861396637,4.582548527595864,14.839060388047164,19.33259720546273,0.5332520487723494,3.44635020964827
24,6,42,C,Manufacturing,37.26342723514665,0.2894824446114944,0.0610728573122268,Valencia,1,0.5179827036309119,3779.0377075596343,8.237489264108754,1.359151827739972,6.264421401440464,14.32607605584263,16.16391622777397,0.5461811892085224,2.485098814713772
25,13,48,J,Information and communication,54.58498352963894,0.142944479010294,0.1346654270465323,Madrid,1,0.5518252926767474,4870.759922620122,8.491210531209271,3.350905356286096,4.1955776352547485,11.206313100201058,24.671408339822896,0.6064046687063468,3.6474460825717046
26,22,26,F,Construction,39.031181467805645,0.0688119926424495,0.0953681909755213,Catalonia,1,0.5186301200071716,2992.07992428976,8.004058211234804,1.2334998220356068,-0.8557643745805121,12.370226778959369,12.79665664032058,0.48842749962011106,2.974307431637093
27,8,40,F,Construction,36.53510922087419,0.4780506441171283,0.0835371110895509,Cantabria,0,0.5078775646527217,0.0,0.0,0.8553004480916135,-0.1880850596207679,8.16092789831236,16.67689719115658,0.4566573153001293,2.31016930673258
28,27,9,I,Accommodation and food service activities,40.437688477624825,0.2589937802500762,-0.0869678331301792,Catalonia,0,0.507841496568511,0.0,0.0,1.037383104526172,1.0522586421268136,5.763264083572092,14.67572112891177,0.472790990924841,2.5293256417271124
29,12,41,J,Information and communication,44.36888830274057,0.2924364616320771,0.0391295194196808,Extremadura,1,0.5480475036176979,4443.777418418382,8.399485072097692,2.303252421395329,7.02876091852077,10.943480230548724,14.39245244012157,0.5836362525300216,2.522892338169162
30,16,34,H,Transportation and storage,49.26755246099445,0.3855649209836862,0.0039451048881362,Catalonia,1,0.5138274571916128,3149.333740874063,8.055263675691258,1.0431106036262583,5.193305002508595,11.776724314144063,13.198119708447631,0.575915569799563,2.4201543569656385
31,12,45,M,"Professional, scientific and technical activities",53.53183692666671,0.0181653248052962,0.1113536753532054,Madrid,1,0.5458746246910794,4535.115869130965,8.41982638942238,3.0691530444613706,5.3458683193002745,14.686672862613197,26.705582085370143,0.6042764817950435,3.5837128741447124
32,88,13,F,Construction,5.0,0.1946138121507964,0.0847516665965016,Madrid,0,0.4740900812063701,0.0,0.0,0.5033861878492036,2.005740550566774,3.4219657570946733,7.838686035120057,0.42133366103199404,2.7893840941878767
33,20,36,F,Construction,37.88524163379853,0.110488090948601,0.0264006806807445,Andalusia,0,0.521973825858069,0.0,0.0,1.188364325389384,0.4930485007233545,6.073189275554907,10.48320901347421,0.47011100459937155,2.764922122147353
34,9,25,I,Accommodation and food service activities,44.126450339659414,0.1084938629473196,0.095218127923383,Canary Islands,1,0.5253238819611231,3781.473851387103,8.238133532588279,1.2967706404492745,7.562159628798998,8.927123202221793,15.763356397432606,0.5581909944613773,2.987861831210207
